Country,Year,code,Code,GROWTH,TEA,FDI,RGDPPC,LOGRGDPPC,INITIAL,CREDIT,RD,POPULATION,PATENTS,LOGPATENTS,PATENT,LOGPATENT,GCF,UNEMPLOYMENT,TRADE,URBAN,POLSTAB,MOBILE,BROADBAND,TELEPHONE,GOVT,EDUC,INFLATION,RGDPPC2001
Afghanistan,2000,,,,,,1666.44865,7.418450084,,,,,,,,,,,,,,,,,,,,
Afghanistan,2001,,,,,,1498.104567,7.311955966,,,,,,,,,,,,,,,,,,,,
Afghanistan,2002,,,,,,1806.234167,7.498999386,,,,,,,,,,,,,,,,,,,,
Afghanistan,2003,,,,,,1822.978484,7.508226972,,,,,,,,,,,,,,,,,,,,
Afghanistan,2004,,,,,,1777.454069,7.482937321,,,,,,,,,,,,,,,,,,,,
Afghanistan,2005,,,,,,1907.597014,7.553599621,,,,,,,,,,,,,,,,,,,,
Afghanistan,2006,,,,,,1928.294216,7.564391065,,,,,,,,,,,,,,,,,,,,
Afghanistan,2007,,,,,,2155.898161,7.675962696,,,,,,,,,,,,,,,,,,,,
Afghanistan,2008,,,,,,2196.100368,7.694438507,,,,,,,,,,,,,,,,,,,,
Afghanistan,2009,,,,,,2572.589589,7.852668293,,,,,,,,,,,,,,,,,,,,
Afghanistan,2010,,,,,,2858.126965,7.957921782,,,,,,,,,,,,,,,,,,,,
Afghanistan,2011,,,,,,2766.342096,7.925281184,,,,,,,,,,,,,,,,,,,,
Afghanistan,2012,,,,,,2994.486319,8.004527983,,,,,,,,,,,,,,,,,,,,
Afghanistan,2013,,,,,,3054.451571,8.024355337,,,,,,,,,,,,,,,,,,,,
Afghanistan,2014,,,,,,3024.98212,8.01466046,,,,,,,,,,,,,,,,,,,,
Afghanistan,2015,,,,,,2974.573322,7.997855887,,,,,,,,,,,,,,,,,,,,
Afghanistan,2016,,,,,,2964.287173,7.994391869,,,,,,,,,,,,,,,,,,,,
Afghanistan,2017,,,,,,2956.769925,7.99185271,,,,,,,,,,,,,,,,,,,,
Afghanistan,2018,,,,,,2906.8426,7.974822754,,,,,,,,,,,,,,,,,,,,
Afghanistan,2019,,,,,,2933.958598,7.984107847,,,,,,,,,,,,,,,,,,,,
Afghanistan,2020,,,,,,2776.561521,7.928968578,,,,,,,,,,,,,,,,,,,,
Afghanistan,2021,,,,,,2138.870247,7.668033047,,,,,,,,,,,,,,,,,,,,
Afghanistan,2022,,,,,,1955.212904,7.578254369,,,,,,,,,,,,,,,,,,,,
Afghanistan,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2000,,,,,,3220.259146,8.077217115,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2001,,,,,,3253.78015,8.087572722,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2002,,,,,,3295.025254,8.100169111,,,,,,,,,,,,,,,,,,,,
